"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"AccessPermitInner","ARSTOTZKA","ARSTOTZKIO"
"AccessPermitInner","Access Permit","Aliro-Permesilo"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","Cxi tiu papero donas kondicxan aliron al  la sendependa nacio de Arstotzkujo"
"AccessPermitInner","NAME","NOMO"
"AccessPermitInner","NATIONALITY","NACIECO"
"AccessPermitInner","PURPOSE","CELO"
"AccessPermitInner","HEIGHT","ALTECO"
"AccessPermitInner","PHYSICAL APPEARANCE","FIZIKA ASPEKTO"
"AccessPermitInner","ID NUMBER","IDENTIGILA N-RO"
"AccessPermitInner","DURATION","DAUXRO"
"AccessPermitInner","WEIGHT","PEZO"
"AccessPermitInner","ENTER BY","ENIRI GXIS"
"AccessPermitInner","Keep on person","Cxiam tenu tion"
"AccessPermitInner","Ministry of Admission","Ministrejo de Enlaso"
"AsylumGrantInner","Arstotzka","Arstotzkio"
"AsylumGrantInner","GRANT of ASYLUM","APROBO de AZILO"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","Cxi tiu dokumento donas kondicxan azilon ene de la landlimoj de Arstotzkujo"
"AsylumGrantInner","NAT","NAC"
"AsylumGrantInner","ID#","ID#"
"AsylumGrantInner","DOB","NAS"
"AsylumGrantInner","HT","ALT"
"AsylumGrantInner","WT","PZ"
"AsylumGrantInner","Offer expires after","Oferto eksvalidigxos post"
"AsylumGrantInner","Ministry of Admission","Ministrejo de Enlaso"
"BizCardInnerFront","ENGINEERING","INGXENIERARTO"
"BizCardInnerFront","Director","Direktoro"
"BizCardInnerBack","WE NEED ENGINEERS","INGXENIERISTOJ!"
"BizCardInnerBack","WILL BEAT .GOV PAY","NI PAGOS PLI OL EST."
"BizCardInnerBack","CONTACT NOW","TELEFONU NUNE"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","Homo nomigxis <span>Dari Ludum</span> promesis bonan laboron al mi kaj mia fratino en Arstotzkio."
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","Mi ne fidas vin. Mi timas, ke li prenu mian pasporton kaj igxu min labori en bordelo.  Li vicigxis hodiaux."
"BrothelHelpInner","Please do something.","Faru ion ajn, mi petas."
"BulletinInnerDiploTut","Diplomat","Diplomato"
"BulletinInnerDiploTut","Verification Procedure","Procedo por Kontrolado"
"BulletinInnerDiploTut","Verify issuing country","Kontrolu eldonitan nacion"
"BulletinInnerDiploTut","Verify identity","Kontrolu identecon"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Kontrolu diplomatan aliron al Arstotzkio"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","Oni povas korelativigi mankantajn dokumentojn per markante tablon kaj rilatan  noton en regulolibro."
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","Korelativigu rilatan noton en regulolibro kun malobservanta informo por sxalti pluajn agordojn."
